course_title,course_field,diff_level
A beginner`s guide to fingerpicking and strumming guitar',Musical Instruments,Beginner Level
"Instant Harmonica - Basic 12 Bar Blues course, easy and fun!",Musical Instruments,Beginner Level
Your First Course on Piano,Musical Instruments,Beginner Level
Acoustic Guitar Basics,Musical Instruments,Beginner Level
Cracking the Violin Code!,Musical Instruments,All Levels
Instant Bodhran - part one; learn the basics of drumming now,Musical Instruments,Beginner Level
"Play The Piano By Ear | Master Class, Learn By Doing",Musical Instruments,All Levels
Discover Classical Guitar Level 2   ,Musical Instruments,Intermediate Level
Fingerpicking Classics - Great songs played fingerstyle!,Musical Instruments,All Levels
6 Must Know Tricks to Successful Solos,Musical Instruments,All Levels
CAGED System for Guitar (Guitar Lessons from Lutz Academy),Musical Instruments,All Levels
Learn the Violin - No Music Experience Necessary!,Musical Instruments,Beginner Level
Your Second Course on Piano: Two Handed Playing,Musical Instruments,Beginner Level
How to Design Your Own Guitar,Musical Instruments,All Levels
How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,Musical Instruments,Intermediate Level
Play Sonny Terry style on Harmonica and dazzle your friends!,Musical Instruments,All Levels
Blues and Advanced Guitar Lessons,Musical Instruments,All Levels
Learn basics of South Indian Carnatic Flute Step by Step ,Musical Instruments,Beginner Level
Basic Piano Hymn Playing,Musical Instruments,Beginner Level
#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,Musical Instruments,All Levels
Piano Music Theory (Back To Basics) by JFilt,Musical Instruments,Beginner Level
Guitar - 12  Strumming Patterns You Must Know For Guitar,Musical Instruments,Beginner Level
Guitar Lessons for complete beginners - super simple and fun,Musical Instruments,Beginner Level
CAGED Pentatonic System for Guitar - Level 3,Musical Instruments,All Levels
Classical Guitar Essentials - The Basics Part 2,Musical Instruments,Intermediate Level
Introduction to Piano - By PGN Piano!,Musical Instruments,Beginner Level
Keyboard Instruments - Read Sheet Music for Piano Fast!,Musical Instruments,Beginner Level
How to Play the Guitar: Your 30-Day Guide to Learn Guitar,Musical Instruments,Beginner Level
Drumming Accelerator: How To Get The Best Start Possible,Musical Instruments,Beginner Level
Play Piano 4: Improvise on popular song Yesterday chords,Musical Instruments,All Levels
Beginner's Guitar Lessons - Crash Course for Busy Adults,Musical Instruments,Beginner Level
Getting Started with the Guitar in 5 Days,Musical Instruments,Beginner Level
Guitar Lessons - String Bending And Vibrato Essentials,Musical Instruments,All Levels
Piano With Willie: Blues n' Boogie Vol. 1,Musical Instruments,Intermediate Level
Piano Runs & Fills #4: C6 Rolling Waves & Waterfall Runs,Musical Instruments,All Levels
Chugging - it don't mean a thing if it ain't got that swing!,Musical Instruments,All Levels
Make Your Own Ukulele,Musical Instruments,All Levels
"Beginner Violin 101: Care, Maintenance, and the Right Gear",Musical Instruments,All Levels
Learn How To Play 25 Classic Hip Hop Songs,Musical Instruments,All Levels
Learn Beethoven's Fur Elise on Piano,Musical Instruments,All Levels
Play Violin and Fiddle for beginners - it's fun  - Course 1,Musical Instruments,Beginner Level
Piano With Willie Building Technique with Scales Vol. 1,Musical Instruments,All Levels
Christmas Piano Songs For The Very Beginner Vol. I,Musical Instruments,Beginner Level
Introduction to Gypsy Jazz Guitar,Musical Instruments,All Levels
"Learn How to Play Blues, Rock, & Boogie Woogie Piano Today",Musical Instruments,All Levels
The Piano Chord Ladder | Learn to Play Thousands of Songs,Musical Instruments,All Levels
Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,Musical Instruments,Expert Level
Playing Piano: Scales and Arpeggios Vol.I : Major keys,Musical Instruments,Beginner Level
Drumming for Beginners - Simple Way To Learn How To Drum,Musical Instruments,Beginner Level
Get great playing HARMONICA - a fun new leisure time hobby !,Musical Instruments,All Levels
Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,Musical Instruments,All Levels
Play Piano 3: Improvise Chords to Enchanted Evening by Ear,Musical Instruments,All Levels
"Jazz Guitar Tips, Tricks and Licks",Musical Instruments,Intermediate Level
Piano From Zero To Pro - Beginner Essentials To The Piano,Musical Instruments,Beginner Level
"Piano: Learn 48 chords in 1 hour,  and always remember how",Musical Instruments,Beginner Level
Walking Bass - Quick Start Guide,Musical Instruments,All Levels
Beginner Guitar Lessons: Learn To Play Guitar Today (WAVE 1),Musical Instruments,Beginner Level
Blues Bass - Quick Start Guide,Musical Instruments,All Levels
How to speak Pianish (beginner level),Musical Instruments,Beginner Level
Gospel Piano Essentials,Musical Instruments,Intermediate Level
Instant Harmonica - play Leonard Cohen's Hallelujah now!,Musical Instruments,All Levels
Guitar Crash Course (No Experience Necessary),Musical Instruments,Beginner Level
Beginner Guitar Lessons - Your Complete Foundation Course,Musical Instruments,Beginner Level
Piano Building Blocks: Learn the 24 Most Common Chords,Musical Instruments,Beginner Level
Learn to Play the Oboe: Beginner to Pro in Under Four Hours,Musical Instruments,Beginner Level
Playing Piano By Ear: Complete Guide for Aspiring Musicians,Musical Instruments,All Levels
"Discover the fun of Spoon playing, a beginners course",Musical Instruments,All Levels
Country Guitar Fundamentals,Musical Instruments,Intermediate Level
Discover Classical Guitar Level 1,Musical Instruments,Beginner Level
PI-101 Top 10 Classical Piano Pieces for Beginners,Musical Instruments,Beginner Level
Get started playing blues harmonica,Musical Instruments,Beginner Level
Rockabilly Guitar For Beginners,Musical Instruments,Beginner Level
Beginner Piano,Musical Instruments,Beginner Level
Step by Step Tabla Course- Indian Drums,Musical Instruments,Beginner Level
Play Piano 6 -Improvise on The Way We Were with Power Chords,Musical Instruments,All Levels
101 Blues riffs - learn how the harmonica superstars do it,Musical Instruments,Intermediate Level
Learn To Play The Drums,Musical Instruments,All Levels
Guitar: Master The Guitar Fretboard In 6 Easy Steps,Musical Instruments,Beginner Level
Play Piano in 30 Days! - Start Playing NOW!,Musical Instruments,Beginner Level
Curso de Didgeridoo nivel principiante,Musical Instruments,Beginner Level
ブルースギター入門,Musical Instruments,All Levels
Pianoforall - Incredible New Way To Learn Piano & Keyboard,Musical Instruments,All Levels
The Professional Guitar Masterclass,Musical Instruments,All Levels
Modern Rock Guitar Techniques,Musical Instruments,Intermediate Level
Complete Guitar System - Beginner to Advanced,Musical Instruments,All Levels
Guitar Super System Level 1,Musical Instruments,Intermediate Level
How to play Piano - Go from a Beginner/Intermediate to a Pro,Musical Instruments,All Levels
Guitar Super System Level 2,Musical Instruments,Expert Level
"LEARN HARMONICA, amaze your friends and have fun - it's easy",Musical Instruments,All Levels
The Complete Piano & Music Theory Beginners Course,Musical Instruments,All Levels
Ultimate Beginner Guitar Masterclass,Musical Instruments,Beginner Level
Quicklessons Piano Course - Learn to Play Piano by Ear!,Musical Instruments,All Levels
"Learn guitar the Right way! Complete 'KickStarter course""",Musical Instruments,Beginner Level
CAGED Pentatonic System for Guitar - Level 1,Musical Instruments,All Levels
CAGED Pentatonic System for Guitar - Level 2,Musical Instruments,All Levels
Learn to Play Piano From a Concert Pianist - For Beginners,Musical Instruments,Beginner Level
#12 Hand Coordination: Let your Hands dance with Ballad 9,Musical Instruments,Intermediate Level
How To Make Money With A Cover Band,Musical Instruments,All Levels
How To Play Guitar - For Absolute Beginners,Musical Instruments,Beginner Level
Learn How to Improvise on Guitar in 30 Days,Musical Instruments,Beginner Level
Play Piano 8 - Play Over the Rainbow by Ear & Free Improvise,Musical Instruments,All Levels
The Best Beginner Guitar Course Ever,Musical Instruments,Beginner Level
Piano For Singer/Songwriters 2: Pop/Rock Rhythm Immersion,Musical Instruments,All Levels
Guitar: Learn 10 CCR Guitar Chord Progressions,Musical Instruments,Beginner Level
"Play Piano 2:  Play 'Love Me Tender By Ear with 2-5 Chords""",Musical Instruments,All Levels
Learn Piano #10 Tritone Chord Substitution with Jazzy Sounds,Musical Instruments,All Levels
Getting Started with Playing Guitar,Musical Instruments,Beginner Level
Piano Playing: Reading and Playing Classical Tunes Vol.II,Musical Instruments,Beginner Level
Harmonica Jamz: The Only Course on Jammin' with Friends,Musical Instruments,Beginner Level
Guitar - Learn 10 Legendary Chord Progressions for Guitar,Musical Instruments,Beginner Level
Guitar - Blues Guitar for Beginners,Musical Instruments,Beginner Level
Electric Guitar for Beginners - RockStarter Level 1,Musical Instruments,Beginner Level
The Circle of Fifths for Guitarists,Musical Instruments,Intermediate Level
Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro,Musical Instruments,All Levels
Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,Musical Instruments,All Levels
Essential Theory and Technique for Guitar,Musical Instruments,Beginner Level
Piano for Complete Beginners: Learn your first song today!,Musical Instruments,Beginner Level
Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands,Musical Instruments,Intermediate Level
Master Class # 11:  Play Piano Techniques Learn Piano 1 to10,Musical Instruments,All Levels
Learn all Piano Chords in all Piano Scales with logic,Musical Instruments,Beginner Level
Learn to play the piano or keyboard from scratch,Musical Instruments,Beginner Level
5 Exotic Guitar Scales and How to Use Them Effectively,Musical Instruments,Intermediate Level
Learn 4 Chords and Play Thousands of Songs!,Musical Instruments,Beginner Level
#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,Musical Instruments,Intermediate Level
Acoustic Fingerstyle Guitar Course: Beginner to Advanced,Musical Instruments,All Levels
Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,Musical Instruments,Intermediate Level
Play Piano 1 Master Class Intro:  Standards 2-5 Power Chords,Musical Instruments,All Levels
Best Beginner Guitar Lessons by Sam Lyons,Musical Instruments,All Levels
A new approach to piano and playing songs for beginners,Musical Instruments,Beginner Level
Learn Guitar: Zero to Guitar Fingerpicking in 30 days,Musical Instruments,Beginner Level
How to play Contemporary Piano,Musical Instruments,All Levels
Piano Technique Exercises Vol.1,Musical Instruments,All Levels
Instant Harmonica - Learning the Basic 12 Bar Blues Bassline,Musical Instruments,All Levels
#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,Musical Instruments,Intermediate Level
Modern Country Guitar: Technique Booster,Musical Instruments,Intermediate Level
"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",Musical Instruments,Beginner Level
#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,Musical Instruments,Intermediate Level
3 step formula for playing guitar by ear,Musical Instruments,Beginner Level
"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",Musical Instruments,All Levels
Play Piano by Ear Today! SuperCourse,Musical Instruments,All Levels
Learn to Read & Write Music to play Piano & more instruments,Musical Instruments,All Levels
The Complete Piano Course - Master The Piano,Musical Instruments,All Levels
Learn to play your favorite guitar songs by ear,Musical Instruments,All Levels
Piano for Singer/Songwriters | Write Songs and Perform Live!,Musical Instruments,Beginner Level
Fun Beginner Ukulele Course,Musical Instruments,Beginner Level
Learn Guitar in 21 Days,Musical Instruments,Beginner Level
Fun Ukulele Strumming Course,Musical Instruments,Beginner Level
The Professional Bass Masterclass,Musical Instruments,All Levels
The Allman Brothers Guitar Roots And Techniques,Musical Instruments,Intermediate Level
Blues Guitar Fundamentals,Musical Instruments,Intermediate Level
#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,Musical Instruments,Intermediate Level
#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,Musical Instruments,Intermediate Level
Beginner Level Popular Piano Program - Month 1,Musical Instruments,Beginner Level
Piano Lessons for the R&B Fan,Musical Instruments,All Levels
Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,Musical Instruments,Expert Level
Darbuka Drumming: Learn how to play the Darbuka Dounbek,Musical Instruments,Beginner Level
Awesome Lead Guitar 1,Musical Instruments,Beginner Level
The art of piano improvisation,Musical Instruments,All Levels
How To Build A Professional Djembe: Create Music Beauty &Biz,Musical Instruments,All Levels
Advanced Euphonium Studies - Learn to Master the Euphonium!​,Musical Instruments,All Levels
Didgeridoo - from zero to HERO! Part Two. Intermediate.,Musical Instruments,Intermediate Level
Fingerstyle Guitar by Jacques Stotzem - Advanced Level,Musical Instruments,All Levels
Trumpet Pro Series - You're going to love practicing Trumpet,Musical Instruments,All Levels
A Guide to Analog Synths: For the modern EDM enthusiast.,Musical Instruments,All Levels
Acoustic Blues Guitar Lessons,Musical Instruments,Intermediate Level
Accelerate Your Guitar Learning With Metal Techniques,Musical Instruments,All Levels
Beginner Step by Step Keharwa Theka Tabla Course,Musical Instruments,Beginner Level
Just chords Piano: Learn to Play Piano Quickly - No Music,Musical Instruments,Beginner Level
Play Ukulele Now,Musical Instruments,All Levels
Acoustic Blues Guitar Lessons,Musical Instruments,Intermediate Level
Piano Runs & Fills #1: Play Dreamy Whole Tone Scale Runs,Musical Instruments,All Levels
Play Piano Today - Easy Festive Favorites & Piano Party Hits,Musical Instruments,All Levels
The 80/20 Beginner Guitar Course,Musical Instruments,Beginner Level
Drums for Beginners,Musical Instruments,Beginner Level
Digital Pianist Course-Learn Piano & Keyboard Fast & Easy,Musical Instruments,Beginner Level
Learn to play guitar and sing at the same time,Musical Instruments,Beginner Level
Introduction to Ukulele 1,Musical Instruments,Beginner Level
Learn Flute FAST!,Musical Instruments,Beginner Level
Guitar Lessons - Soloing With Arpeggios - Essential Guide ,Musical Instruments,Intermediate Level
Piano With Willie: Blues n' Boogie Vol. 3,Musical Instruments,Intermediate Level
Instant Harmonica - play The Kesh (pt 1) it's easy and fun!,Musical Instruments,All Levels
Piano Lessons For Beginners: Learn Piano Quickly And Easily,Musical Instruments,Beginner Level
The Easy Beginner Drum Course,Musical Instruments,Beginner Level
Instant Harmonica - play Somewhere Over the Rainbow now!,Musical Instruments,Beginner Level
Instant Harmonica - play The Kesh (part 2) - easy and fun!,Musical Instruments,Beginner Level
The 80/20 Guitar: Write Music and Play Guitar in 30 Days,Musical Instruments,All Levels
Ukulele 2 : Level 1 KEY OF C AND STRUMS,Musical Instruments,Beginner Level
Guitar for Music Educators: Learning How to Teach Guitar,Musical Instruments,Beginner Level
Piano Tutorial : Ludovico Einaudi - Una Mattina,Musical Instruments,All Levels
Guitar Solo - Theory and Improvisation Lessons,Musical Instruments,Intermediate Level
Bluegrass Guitar Essentials: Webisodes 3 & 4,Musical Instruments,Intermediate Level
Instant Harmonica - play Christmas + Birthday songs now!,Musical Instruments,All Levels
Blues Master - Advanced Techniques Piano Course,Musical Instruments,All Levels
Bluegrass Guitar Essentials: Webisodes 5 & 6,Musical Instruments,Intermediate Level
Trombone Lessons For Beginners,Musical Instruments,Beginner Level
Rhythm to Rock Drum Lesson 6,Musical Instruments,Beginner Level
Flute Pro Series - You're about to love practicing the flute,Musical Instruments,All Levels
How To Play Guitar - Everything You Need To Know To Start,Musical Instruments,Beginner Level
Trombone Pro Series - Fall in love with the Trombone,Musical Instruments,All Levels
Learn How To Play 25 Classic Hip Hop Songs Ch.2,Musical Instruments,All Levels
Learn to play tunes by ear on harmonica - no written music,Musical Instruments,Intermediate Level
Fingerpicking for Guitar,Musical Instruments,All Levels
"Music Theory, Guitar and Ear Training",Musical Instruments,Beginner Level
"Piano Unbound. Piano learning method, a course for beginners",Musical Instruments,All Levels
Advanced Trombone Studies - Learn to Master the Trombone!,Musical Instruments,All Levels
"Euphonium Solos: Learn to Perform Three Fun, Unique Pieces!",Musical Instruments,All Levels
Piano With Willie: Tritones & Phat Chords,Musical Instruments,Intermediate Level
Piano for Kids: Developing Your Child's Creative Abilities,Musical Instruments,Beginner Level
Piano Lessons For The Hip Hop Fan,Musical Instruments,Intermediate Level
French Horn Solos: Learn how to Perform Three Fun Pieces!,Musical Instruments,All Levels
Bluegrass Guitar Essentials: Webisodes 9 & 10,Musical Instruments,Intermediate Level
Clarinet Lessons For Beginners,Musical Instruments,Beginner Level
Play music on Harmonica using 8 notes - learn easy tunes!,Musical Instruments,Beginner Level
Learn Piano Online-A Quiet Solace Piano Solo,Musical Instruments,Intermediate Level
Bluegrass Guitar Essentials: Webisodes 7 & 8,Musical Instruments,Intermediate Level
The Art of the Blues Shuffle - A Guitarist's Guide,Musical Instruments,Intermediate Level
Learn Piano Online-Ambiance Piano Solo,Musical Instruments,Intermediate Level
Piano Lessons For Beginners,Musical Instruments,Beginner Level
The Theory & Practice of Modes on the Guitar,Musical Instruments,Intermediate Level
Learn How To Play The Trumpet,Musical Instruments,All Levels
Violin for Beginners,Musical Instruments,Beginner Level
Beginner Acoustic Guitar Lessons,Musical Instruments,Beginner Level
Aprendiendo Piano: Tocando piezas populares Vol.I,Musical Instruments,Beginner Level
Curso de Bateria - Explorando Diferentes Divisões,Musical Instruments,Intermediate Level
Escalas Pentatónicas para guitarristas,Musical Instruments,All Levels
Brass Master Class,Musical Instruments,All Levels
Enseñando música: mejora tus clases de instrumento ,Musical Instruments,Beginner Level
Ukelele exprés: aprende a tocar en menos de un mes,Musical Instruments,Beginner Level
Curso de Guitarra para Principiantes,Musical Instruments,Beginner Level
Mundharmonika spielen - mein schönstes Hobby,Musical Instruments,Beginner Level
Aprende el acordeón de oído y con técnica –Nivel Intermedio–,Musical Instruments,Intermediate Level
Présentation du Banjo Ténor,Musical Instruments,Beginner Level
Aprende a tocar el acordeón de botones,Musical Instruments,All Levels
Aprendiendo piano: Lectura de piezas clásicas Vol.I,Musical Instruments,Beginner Level
Pedais de efeito para Contrabaixo,Musical Instruments,All Levels
Mantenimiento y octavación para guitarras eléctricas,Musical Instruments,All Levels
Aprende a tocar el violín desde cero,Musical Instruments,All Levels
Aprende a tocar el teclado como los expertos,Musical Instruments,All Levels
Aprende a tocar el saxofón como siempre has querido,Musical Instruments,All Levels
Guitarra para principiantes,Musical Instruments,Beginner Level
Aprende a tocar flauta transversal sin complicaciones,Musical Instruments,All Levels
Aprende a tocar las escalas en el acordeón de botones.,Musical Instruments,Beginner Level
Curso de Violão Prático,Musical Instruments,Beginner Level
"Aprende a tocar percusiones: congas, bongós, maracas y más",Musical Instruments,All Levels
Gitarre spielen - mein schönstes Hobby,Musical Instruments,Beginner Level
Aprende a tocar la guitarra acústica como un profesional,Musical Instruments,All Levels
Guitar Lesson - Five Steps to Learn Barre Chords,Musical Instruments,All Levels
"Easy Piano Basics™ - Learn Piano, No Prior Experience Needed",Musical Instruments,All Levels
Guitar Technique Mastery: The Ultimate Chop Building Workout,Musical Instruments,All Levels
Inside Drum Technique,Musical Instruments,All Levels
"Learn to Play Tarrega, Bach, and Sor on Classical Guitar",Musical Instruments,Intermediate Level
Create Beautiful Music On The Piano Like a Pro In Minutes,Musical Instruments,All Levels
Instant Harmonica - play the great Irish tune Molly Malone!,Musical Instruments,Beginner Level
Instant Harmonica - play 'Can't Help Falling in Love' now!,Musical Instruments,All Levels
Arpeggios for Guitar made Easy! Dominate the Fretboard,Musical Instruments,All Levels
Guitar Lessons - The Modal System - Modes Essentials,Musical Instruments,All Levels
Learn to Play Percussion: Beginner to Pro made the Easy Way!,Musical Instruments,All Levels
Modern Piano Lessons For Beginners,Musical Instruments,Beginner Level
World Percussion: Complete Lessons for Everyone,Musical Instruments,All Levels
Learn Lion (Saroo) Soundtrack On The Piano By Ear,Musical Instruments,All Levels
Acoustic Blues Guitar Lessons,Musical Instruments,Intermediate Level
Play Guitar and Understand Music Quick & Easy in 28 Days!,Musical Instruments,All Levels
Learn How to Play the Violin - Violin Basics,Musical Instruments,Beginner Level
Swing Low - The 101 Authentic Nashville Piano Style Course,Musical Instruments,All Levels
Guitar:Play 5 Easy Christmas Chord Progressions On Guitar,Musical Instruments,Beginner Level
Get Piano Skills TODAY!!! ,Musical Instruments,All Levels
Learn the Violin - Scales and Fundamentals,Musical Instruments,Beginner Level
Piano With Willie Building Technique with Scales Vol. 2,Musical Instruments,All Levels
Master Flute Playing: Intermediate Instruction Made Simple!,Musical Instruments,Intermediate Level
How to Sing and Play the Guitar (at the same time),Musical Instruments,Beginner Level
"Super Beginner Guitar - start right, start awesome",Musical Instruments,Beginner Level
"Introduction to Guitar 'A Course for Beginners"",https://www.udemy.com/introduction-to-guitar/,true,25,163,11,56,Beginner Level,2.5 hours,2014-10-30T15:59:39Z
650804,Guitar  Master Class Learning How to Play Guitar from A to Z""",Musical Instruments,All Levels
Rhythm to Rock Drum Lesson 5,Musical Instruments,Beginner Level
Gibson's Learn & Master Guitar,Musical Instruments,All Levels
Master the Trombone: Intermediate Instruction Made Simple!,Musical Instruments,All Levels
Walking Bass Fundamentals,Musical Instruments,All Levels
Circular Breathing for musicians - practical skills,Musical Instruments,All Levels
Electric Bass for Busy Beginners Course 1,Musical Instruments,All Levels
Guitar for Absolute Beginners (Class 1),Musical Instruments,Beginner Level
Tenor Banjo for Absolute Beginners,Musical Instruments,Beginner Level
Guitar Lessons - 50 Essential Fast Legato Licks,Musical Instruments,Intermediate Level
Aprenda a tocar Pandeiro - Curso Iniciante - Samba/Choro,Musical Instruments,Beginner Level
Aprende batería con el nuevo método IDT,Musical Instruments,All Levels
5 lecciones que todo guitarrista debe tomar,Musical Instruments,Beginner Level
Los 7 Acordes para Tocarlo Todo en un fin de semana,Musical Instruments,Beginner Level
Curso de Violão Popular,Musical Instruments,Beginner Level
Aprendiendo Piano: Ejercicios de calentamiento,Musical Instruments,Beginner Level
Aprendiendo piano: Lectura de piezas clásicas Vol.II,Musical Instruments,Beginner Level
"Aprende a tocar el Acordeón 'de oído y con técnica"",https://www.udemy.com/aprende-a-tocar-el-acordeon-de-oido-y-con-tecnica/,true,25,93,21,34,Beginner Level,4 hours,2014-09-16T19:51:45Z
263432,Aprende los Secretos de la Armónica con HARP&SOUL""",Musical Instruments,All Levels
Guitarra Desde Cero - PARTE 1,Musical Instruments,Beginner Level
Super-Curso de Guitarra Práctico Para Principiantes,Musical Instruments,Beginner Level
Explosão Pentatônica,Musical Instruments,All Levels
Complete Beginners Introduction to Guitar,Musical Instruments,Beginner Level
Learn 10 Scottish Tunes Piano Easy Level,Musical Instruments,Beginner Level
Fingerpicking Fundamentals,Musical Instruments,Beginner Level
Piano With A Pro,Musical Instruments,All Levels
Piano Lessons for Beginners: Play the Piano AND Read Music!,Musical Instruments,Beginner Level
Master the Tuba - Intermediate Instruction Made Simple!,Musical Instruments,Intermediate Level
The Fun and Effective Piano Course,Musical Instruments,All Levels
Advanced Flute Studies - Learn to Master the Flute!​,Musical Instruments,All Levels
Alternate Picking Speed & Accuracy,Musical Instruments,All Levels
"Master the Euphonium with Simple, Intermediate Instruction!",Musical Instruments,Intermediate Level
Master the Clarinet: Intermediate Instruction Made Simple!,Musical Instruments,All Levels
Advanced Clarinet Studies - Learn to Master the Clarinet!,Musical Instruments,All Levels
Aprende a tocar ritmo pop en el piano y teclado,Musical Instruments,All Levels
Aprendiendo Piano: Tocando piezas populares Vol.II,Musical Instruments,Beginner Level
Comment jouer du Pianoforte,Musical Instruments,All Levels
Aprende a tocar blues en el piano y teclado,Musical Instruments,All Levels
ABC DO VIOLÃO E GUITARRA,Musical Instruments,Beginner Level
Suonare la Chitarra,Musical Instruments,All Levels
Aprende todos los secretos de la guitarra flamenca,Musical Instruments,All Levels
こどもギターレッスン　リトルギタリストⅠ,Musical Instruments,Beginner Level
Aprende cómo tocar el Bajo Sexto,Musical Instruments,All Levels
Coach Guitar - Apprendre la GUITARE facile avec des COULEURS,Musical Instruments,All Levels
Sistema Completo De Guitarra Rítmica Para Principiantes,Musical Instruments,Beginner Level
Curso de batería online de Patricio Iglesias (Santa Sabina),Musical Instruments,Intermediate Level
"Learn Piano with Beyer, 15 Minutes Challenge",Musical Instruments,All Levels
"Classical Guitar Master Class: 'Alman  """,Musical Instruments,Intermediate Level
Blues Accelerator - 21 Days to Blues Guitar Mastery,Musical Instruments,Beginner Level
Alto Saxophone Lessons For Beginners,Musical Instruments,Beginner Level
Instant Harmonica - Christmas; play Jingle Bells part 2 now!,Musical Instruments,All Levels
Piano With Willie: Jazz & Gospel Exercises,Musical Instruments,Intermediate Level
Bending the blue notes to give you killer sound on harmonica,Musical Instruments,Intermediate Level
"Beginner's Guitar: Tuning, Strumming, and Chords!",Musical Instruments,Beginner Level
Instant Harmonica - play The Lion Sleeps Tonight - today!,Musical Instruments,Beginner Level
Piano With Willie Building Technique with Scales Vol. 3,Musical Instruments,All Levels
Instant Bodhran - part two; learning further drumming skills,Musical Instruments,Beginner Level
Guitar Essentials,Musical Instruments,Beginner Level
Rhythm to Rock Drum Lessons,Musical Instruments,Beginner Level
Learn to play and improve 12 bar blues harmonica solos,Musical Instruments,Beginner Level
Learn to improvise on your harmonica - in nice easy steps,Musical Instruments,Beginner Level
Learning Electric Guitar for Absolute Beginners,Musical Instruments,Beginner Level
Advanced Bassoon Studies - Learn to Master the Bassoon!​,Musical Instruments,All Levels
Blues Guitar Lessons: Play Like the Greats - All Levels,Musical Instruments,All Levels
Instant Harmonica - play Whiskey in the Jar + Molly Malone!,Musical Instruments,All Levels
Learn To Play Trumpet Fast Using The Passive Trumpet Tutor,Musical Instruments,All Levels
Electric Bass Right From The Start,Musical Instruments,Beginner Level
Beginner Guitar Essentials,Musical Instruments,Beginner Level
Advanced Tuba Studies - Become a Master of the Tuba!​,Musical Instruments,All Levels
'Greensleeves' Creative Piano Lessons Course,Musical Instruments,All Levels
Rhythm to Rock Drum Lesson 4,Musical Instruments,Beginner Level
Hands On Guitar: Beyond Beginner,Musical Instruments,Beginner Level
Instant harmonica - play Auld Lang Syne the neet (tonight)!,Musical Instruments,All Levels
Piano The Hard Way -  Fast Way To Life Long Piano Enjoyment,Musical Instruments,Beginner Level
The Ultimate Method for Learning Modern Piano & Keyboards,Musical Instruments,All Levels
Master the Bassoon - Intermediate Instruction Made Simple!,Musical Instruments,All Levels
Oboe Pro Series - You're going to love practicing the Oboe,Musical Instruments,All Levels
Instant Harmonica - play this classic GAME OF THRONES theme!,Musical Instruments,Beginner Level
"Trumpet Solos: Learn how to Perform Three Fun, Unique Pieces",Musical Instruments,Intermediate Level
Learn 4 Vital things that will make your DRUM PLAYING EASIER,Musical Instruments,All Levels
Sax Solos: Learn how to Perform Three Fun and Unique Pieces!,Musical Instruments,Intermediate Level
Traditional-Style Electric Blues Guitar For Beginners,Musical Instruments,Beginner Level
Aprende a tocar los mejores solos en la guitarra eléctrica,Musical Instruments,All Levels
Aprende a tocar la guitarra,Musical Instruments,All Levels
Aprende a tocar el piano desde cero,Musical Instruments,All Levels
Aprende a tocar el clarinete.  ,Musical Instruments,All Levels
Ahora aprende a tocar jazz en el piano,Musical Instruments,All Levels
こどもギターレッスン　リトルギタリストⅡ,Musical Instruments,Beginner Level
Aprende a tocar el contrabajo sin complicaciones,Musical Instruments,All Levels
Aprende a tocar la guitarra eléctrica,Musical Instruments,All Levels
Aprende a improvisar en la guitarra eléctrica,Musical Instruments,All Levels
Curso de Teclado,Musical Instruments,Beginner Level
Guitarra Acústica en Siete Días,Musical Instruments,Beginner Level
improvisación de Guitarra,Musical Instruments,All Levels
Step by Step Classical Guitar Course,Musical Instruments,Beginner Level
Piano With Willie Building Technique with Scales Vol. 4,Musical Instruments,All Levels
Back In Black the AC/DC Classic Rock Track,Musical Instruments,Intermediate Level
Keyboard Basics,Musical Instruments,All Levels
Beginner Guitar Lessons,Musical Instruments,Beginner Level
Guitar Fundamentals for Beginners,Musical Instruments,Beginner Level
Easy Piano - learn and play along,Musical Instruments,Beginner Level
Learn Piano: The Basics of Keyboards,Musical Instruments,Beginner Level
Bassoon Pro Series - You're going to love practicing Bassoon,Musical Instruments,All Levels
Acoustic Guitar Lessons For Beginners,Musical Instruments,Beginner Level
Coach Guitar - Amazing New Way To Learn Guitar With Colors,Musical Instruments,All Levels
Mastering the Art of Guitar Chords,Musical Instruments,Beginner Level
30 Day Guitar Jump Start for Success,Musical Instruments,Beginner Level
